# Wed Nov 22 12:08:51 2017
#simulation with:
#SEED 1
#N_AGENTS 203
#N_USERS 200
#N_SOURCES 3
#P_a 0.025
#P_s 0.25
#dim 3
#time 100
#memorySize 1
ag1,ag2,time,weight,type
15,147,1,0.7667096286058738,a
15,181,1,0.7209621220770561,a
16,39,1,0.3337649923524984,a
16,51,1,0.7768584807322785,a
16,133,1,0.8847270877688886,a
17,133,1,0.9369930714471075,a
17,171,1,0.31742477161795096,a
18,35,1,0.9029476048993483,a
18,40,1,0.7336503613343728,a
18,78,1,0.5341762533596561,a
18,179,1,0.4005689719448041,a
18,185,1,0.6858673844353909,a
18,197,1,0.8396340127873727,a
19,57,1,0.9440759304515614,a
19,164,1,0.7344287516449559,a
19,168,1,0.5879150815716407,a
19,175,1,0.8907255997235217,a
20,89,1,0.36477823300917844,a
20,97,1,0.5204942555014593,a
20,136,1,0.6352912498963512,a
20,143,1,0.5251830820716654,a
20,171,1,0.6713763809565804,a
21,38,1,0.602247527288879,a
21,83,1,0.5742458449057383,a
21,169,1,0.806303137094851,a
21,190,1,0.5733236049585567,a
21,192,1,0.3243990978053884,a
22,87,1,0.6586976587198041,a
22,152,1,0.4804544987088767,a
22,187,1,0.5811490456650594,a
23,25,1,0.6311350484954033,a
23,108,1,0.353359792619768,a
23,115,1,0.4158886266112301,a
23,135,1,0.5004158048193484,a
23,176,1,0.6068694111329169,a
24,46,1,0.880660556143231,a
24,48,1,0.5266251880600735,a
24,115,1,0.4168324122908959,a
24,118,1,0.8355843235526084,a
24,142,1,0.7601746026355933,a
25,113,1,0.6947323225657799,a
25,127,1,0.8812222124164764,a
25,148,1,0.8507694667938863,a
25,153,1,0.8589152532315554,a
25,174,1,0.39650411626646703,a
25,184,1,0.4471176014020627,a
26,28,1,0.8120964010501761,a
26,200,1,0.9916080953654767,a
27,60,1,0.3051650056562623,a
27,198,1,0.4923212645003147,a
28,62,1,0.8151766018801663,a
28,89,1,0.990292904836747,a
28,114,1,0.4734114352773765,a
28,168,1,0.8561499775619421,a
28,200,1,0.47419036976053175,a
29,53,1,0.4445670976086302,a
29,79,1,0.45870787300323074,a
29,159,1,0.3074727468838102,a
29,165,1,0.3152742243700019,a
29,170,1,0.45528483401535436,a
29,177,1,0.5635181353661642,a
30,42,1,0.6596332211254488,a
30,70,1,0.38811011082096525,a
30,116,1,0.8057186662737195,a
30,127,1,0.527523367704741,a
30,130,1,0.5017789401159238,a
30,161,1,0.8042694156915922,a
31,82,1,0.7528037808493881,a
31,117,1,0.3990077285757362,a
31,163,1,0.6206307844636827,a
31,172,1,0.9475262858973563,a
31,185,1,0.4345796041879142,a
32,34,1,0.5290653015163802,a
32,37,1,0.31526713222703373,a
32,147,1,0.5418576368496469,a
32,162,1,0.39768413672403286,a
33,38,1,0.7395784799671017,a
33,81,1,0.5249103483386646,a
33,105,1,0.3765962463321863,a
33,137,1,0.5598107191076227,a
33,167,1,0.554470092121377,a
33,170,1,0.7914558782310807,a
33,171,1,0.37684260840843276,a
33,192,1,0.7890836017656182,a
33,196,1,0.6864708182283328,a
34,54,1,0.564325835910044,a
34,114,1,0.8271303324080737,a
34,128,1,0.7559941748036072,a
34,153,1,0.7329826049242694,a
34,171,1,0.31313961559051695,a
