# Thu Jun  8 18:04:56 2017
#simulation with:
#SEED 17
#N_AGENTS 203
#N_USERS 200
#N_SOURCES 3
#P_a 0.015
#P_s 0.15
#dim 3
#time 500
#memorySize 1
ag1,ag2,time,weight,type
181,177,148,0.8179615262937263,r
149,0,148,0.9352337183031316,r
86,120,148,0.5278948160256557,r
56,138,148,0.8982841938310135,r
170,182,149,0.329951947391581,a
122,105,149,0.627898736822105,a
94,100,149,0.36295196074862257,a
60,103,149,0.5316075996763199,a
189,191,149,0.3981615059151474,a
106,21,149,0.7152731758649856,a
171,95,149,0.9361624949506557,a
29,126,149,0.47473661524746524,a
116,121,149,0.30310683099298613,a
125,122,149,0.5273628713443091,a
89,0,149,0.7178325379800398,r
43,92,149,0.6400281467130793,r
24,202,150,0.48113623674870587,a
83,195,150,0.5837678104357426,a
111,135,150,0.9836210135632102,a
118,174,150,0.3254791602700687,a
168,159,150,0.9888104426602662,a
26,88,150,0.9842883620201213,a
108,15,150,0.6355896683603308,a
60,10,150,0.5941233081089168,a
56,107,150,0.8145130057403953,r
32,65,150,0.3878303176472268,r
96,53,150,0.39156526525517965,r
3,2,150,0.8277586802145853,r
76,136,150,0.8193286096346246,r
172,79,151,0.9108165755369313,a
154,42,151,0.35739326625267653,a
161,134,151,0.48680487344229517,a
151,194,151,0.46762778461605303,a
174,197,151,0.7247342458925801,a
198,37,151,0.34940401975254937,r
37,116,151,0.5282638107406368,r
186,94,152,0.7498792806876581,a
19,179,152,0.9951439911322508,a
73,26,152,0.7414796538785523,a
79,80,152,0.7940103946762087,a
37,152,152,0.8330462283503419,r
120,39,152,0.6628312948543122,r
167,140,152,0.9531374647681774,r
123,25,152,0.31537494129345656,r
7,95,152,0.347480639100969,r
22,143,152,0.3565530927948478,r
94,186,152,0.7498792806876581,r
181,185,152,0.7103337877670513,r
197,170,153,0.4688483368333072,a
48,9,153,0.332573916654021,a
97,180,153,0.8784343386750695,a
167,92,153,0.8870697996495656,r
19,179,153,0.9951439911322508,r
82,44,153,0.3612294283238007,r
159,143,154,0.5475928131282195,a
118,134,154,0.9118210016218955,a
27,2,154,0.5623399534092495,a
154,15,154,0.6848358472339813,a
119,94,154,0.8779032282693,a
100,58,154,0.31553149204252584,a
200,2,154,0.9800819751782583,r
101,188,154,0.4154233595777245,r
87,60,154,0.621087743283081,r
16,97,154,0.6355106658861531,r
38,78,154,0.7231510441483318,r
178,171,154,0.9643806947291209,r
23,131,154,0.41771737232091954,r
189,195,155,0.8559775360669046,a
170,186,155,0.6753039435815881,a
77,9,155,0.6762517845111041,a
174,118,155,0.3254791602700687,r
111,2,155,0.8299419702144191,r
14,192,155,0.8304533109940277,r
36,37,156,0.7107726417681072,a
158,101,156,0.4415452515430715,a
179,18,156,0.9952615996557621,a
137,198,156,0.36543390577597223,a
60,130,156,0.6503817570740635,a
28,138,156,0.35216044661218554,a
140,126,156,0.7116348492643231,a
72,30,156,0.36758531943377354,a
115,8,156,0.6820091545358253,a
45,8,156,0.7227124219122205,a
59,32,156,0.31437951903212,a
120,22,156,0.5079326369391073,a
35,57,156,0.9825223507933039,a
114,94,156,0.8203508319843404,r
29,145,156,0.946863173916654,r
95,171,156,0.9361624949506557,r
33,116,156,0.32516264620917235,r
99,52,156,0.4804096612497283,r
140,157,156,0.9908610316075166,r
34,137,156,0.4021789530546388,r
72,130,157,0.5884952859579908,a
192,37,157,0.3554604223327923,a
189,195,157,0.8559775360669046,r
138,182,157,0.5115007673486278,r
101,158,157,0.4415452515430715,r
136,83,157,0.748888857152682,r
99,18,157,0.9520624049833384,r
172,79,157,0.9108165755369313,r
45,112,157,0.7604399836017224,r
156,126,158,0.7949267693162663,a
148,17,158,0.6240296671131143,a
71,58,158,0.7031953117516727,a
19,86,158,0.4053207819781622,r
165,25,158,0.579237390511147,r
198,137,158,0.36543390577597223,r
151,194,158,0.46762778461605303,r
110,69,158,0.4917684471705727,r
66,136,159,0.4527964348986735,a
133,72,159,0.8580092145475948,a
188,89,159,0.6138137280456897,a
139,168,159,0.5062655018809767,a
135,111,159,0.9836210135632102,r
23,88,159,0.4341623353285652,r
182,160,159,0.532125285481331,r
153,137,159,0.9998949335133833,r
187,79,160,0.9556109018618861,a
66,149,160,0.5015532025654121,a
191,52,160,0.5211610884209672,a
200,13,160,0.6783279745944404,a
34,152,160,0.4642685290160863,a
99,129,160,0.4584622587178685,a
103,181,160,0.46822234568267906,a
98,153,160,0.7461490138112028,a
176,80,160,0.6965683039090604,a
13,184,160,0.8686741852994933,a
173,90,160,0.4510492288293359,a
167,104,160,0.8487249761360605,r
195,83,160,0.5837678104357426,r
81,109,160,0.8300582580045057,r
47,66,160,0.5451693412744435,r
142,1,160,0.5499748655387641,r
75,105,160,0.7101018363905617,r
137,173,161,0.7388926390419914,a
175,22,161,0.8354544149450003,a
170,116,161,0.4835601089908719,a
10,167,161,0.8272341025591077,a
7,1,161,0.48690686529768584,a
67,22,161,0.819243133390829,a
57,32,161,0.8612402535794055,a
139,178,161,0.43475432440940265,a
200,13,161,0.6783279745944404,r
95,164,161,0.5153048576721062,r
57,35,161,0.9825223507933039,r
175,60,161,0.925257727984415,r
16,67,162,0.44697795669650986,a
29,13,162,0.47421647761260644,a
148,21,162,0.7779124713849593,a
104,187,162,0.5991495545027874,a
193,52,162,0.3630264257780743,a
80,79,162,0.7940103946762087,r
90,173,162,0.4510492288293359,r
187,186,162,0.991341516000936,r
100,187,162,0.5778696990567755,r
64,113,162,0.9210156871834347,r
140,75,162,0.3284267299955603,r
85,188,162,0.9589903116943586,r
27,86,163,0.8198229940520017,a
120,154,163,0.6031237081676852,a
20,126,163,0.375207072529321,a
24,12,163,0.5841016583056036,a
88,121,163,0.3218380555304121,r
175,22,163,0.8354544149450003,r
98,142,163,0.8288920449513619,r
200,0,163,0.3229616041835434,r
202,52,164,0.4244034815560169,a
106,0,164,0.8068088064114802,a
161,118,164,0.31573331305523644,a
68,156,164,0.7425581402526488,a
61,150,164,0.869873871668652,a
80,63,164,0.9783709652570485,r
95,63,164,0.6162181706884143,r
60,101,165,0.34614126587035365,a
196,166,165,0.5434540563238901,a
124,126,165,0.8973157476753388,a
67,86,165,0.7586132164434101,a
183,183,165,0.9575581946066543,a
180,97,165,0.8784343386750695,r
16,152,165,0.7617124690448323,r
87,117,165,0.46708432245426124,r
176,6,165,0.9507889075986717,r
53,95,166,0.49023879959158984,a
111,198,166,0.4176991070474891,a
140,112,166,0.9583321102716647,a
97,4,166,0.657976859364238,a
178,196,166,0.6730089583434214,a
168,164,166,0.44060022500326324,a
86,13,166,0.5804549544477278,a
184,13,166,0.8686741852994933,r
100,94,166,0.36295196074862257,r
105,23,167,0.34067470611172196,a
15,181,167,0.926592710874516,a
176,87,167,0.5626294793757493,a
48,16,167,0.8857895352781258,a
141,87,167,0.7747266819626761,a
133,110,167,0.39070809508442594,a
139,168,167,0.5062655018809767,r
145,69,168,0.8563227781287703,a
183,199,168,0.7923633722207074,a
37,68,168,0.8940615315295928,a
99,51,168,0.49816471684436503,a
168,10,168,0.9468197137975549,a
124,200,168,0.5966007405184807,a
12,169,168,0.983424218196272,a
25,98,168,0.7172512526208108,a
35,63,168,0.37527135460298366,a
175,67,168,0.8286272295852288,a
66,3,168,0.9076829270122055,a
71,7,168,0.5724857282413716,r
110,133,168,0.39070809508442594,r
130,60,168,0.6503817570740635,r
87,115,169,0.7538872502683859,a
192,44,169,0.5619908530358346,a
129,83,169,0.5618146043361364,a
172,180,169,0.7131308297904227,a
21,148,169,0.3507811929586309,a
157,157,169,0.8392618931181579,r
180,172,169,0.7131308297904227,r
92,53,170,0.8987728861915829,a
10,9,170,0.4766605610292508,a
24,1,170,0.5598010816435866,a
69,126,170,0.9341501930145157,a
115,192,170,0.4440162763877775,a
175,113,170,0.598216500937125,a
132,127,170,0.621015521006107,a
154,120,170,0.6031237081676852,r
158,185,170,0.3829557647362179,r
108,193,171,0.5883456775104408,a
133,120,171,0.7405728806857674,a
59,170,171,0.5309755712374975,a
170,59,171,0.5309755712374975,r
16,21,171,0.5460503819921445,r
191,52,171,0.5211610884209672,r
198,111,171,0.4176991070474891,r
7,1,171,0.48690686529768584,r
87,176,171,0.5626294793757493,r
120,22,171,0.5079326369391073,r
9,77,171,0.6762517845111041,r
160,116,171,0.3852050991498609,r
50,181,171,0.7950145914613005,r
110,143,171,0.9762696097049557,r
150,21,172,0.5535140295628302,a
165,160,172,0.30927268752728987,a
178,1,172,0.3990516646024158,a
56,97,172,0.854802078062423,a
114,57,172,0.812152907570459,a
174,93,172,0.49603141032010545,a
151,5,172,0.7023826705094989,a
129,57,172,0.37546887950583935,a
158,172,172,0.7838767663985801,a
145,130,172,0.6590490592284127,r
72,127,172,0.8952201412100631,r
161,118,172,0.31573331305523644,r
195,183,172,0.9145087165773291,r
54,25,173,0.6037168477829244,a
15,181,173,0.453875375664867,a
67,86,173,0.4901932974179845,a
128,133,173,0.8101704432659618,a
5,159,173,0.6869002444787734,a
52,30,173,0.9719196268871253,a
45,110,173,0.4486081858890233,a
123,138,173,0.9029347379661175,a
46,165,173,0.33825728072934547,r
168,159,173,0.9888104426602662,r
106,66,173,0.3582415100775094,r
103,60,173,0.5316075996763199,r
60,101,173,0.34614126587035365,r
30,2,174,0.3859763432405242,a
33,25,174,0.9673382400488888,a
188,196,174,0.6657558066305039,r
75,103,174,0.42408128642503745,r
16,55,174,0.7748088848689543,r
4,25,174,0.978573931429209,r
71,145,175,0.9756302387549849,a
5,13,175,0.7514714031785434,a
179,100,175,0.5655140091803497,a
12,60,175,0.541198047732951,a
7,80,175,0.6107901213524991,a
7,202,175,0.9510288492017687,r
128,192,175,0.39019607345633767,r
114,57,175,0.812152907570459,r
70,59,175,0.8785750378961172,r
87,141,175,0.7747266819626761,r
49,26,175,0.4219169451360373,r
72,133,175,0.8580092145475948,r
145,71,175,0.9756302387549849,r
101,127,176,0.5378824763072555,a
63,17,176,0.7131390281470427,a
91,48,176,0.4604783643754255,a
171,160,176,0.5062655018809767,a
